match_id,season,date,home_team,away_team,result,home_odds,tie_odds,away_odds,avg_pts_home,avg_pts_away,avg_wins_home,avg_wins_away,avg_ties_home,avg_ties_away,avg_losses_home,avg_losses_away,avg_goals_for_home,avg_goals_for_away,avg_goals_ag_home,avg_goals_ag_away,avg_pts_home_at_home,avg_pts_away_at_away,avg_wins_home_at_home,avg_wins_away_at_away,avg_ties_home_at_home,avg_ties_away_at_away,avg_losses_home_at_home,avg_losses_away_at_away,avg_goals_for_home_at_home,avg_goals_for_away_at_away,avg_goals_ag_home_at_home,avg_goals_ag_away_at_away,mom_pts_home,mom_pts_away,mom_wins_home,mom_wins_away,mom_ties_home,mom_ties_away,mom_losses_home,mom_losses_away,mom_goals_for_home,mom_goals_for_away,mom_goals_ag_home,mom_goals_ag_away,mom_pts_home_at_home,mom_pts_away_at_away,mom_wins_home_at_home,mom_wins_away_at_away,mom_ties_home_at_home,mom_ties_away_at_away,mom_losses_home_at_home,mom_losses_away_at_away,mom_goals_for_home_at_home,mom_goals_for_away_at_away,mom_goals_ag_home_at_home,mom_goals_ag_away_at_away
2000066,2000/2001,23/09/2000,Middlesbrough,Aston Villa,X,2.304,3.15,2.634,1,1.6,0.166666667,0.4,0.5,0.4,0.333333333,0.2,1.666666667,1.2,1.666666667,1,0.333333333,1.333333333,0,0.333333333,0.333333333,0.333333333,0.666666667,0.333333333,1,1,1.666666667,1.333333333,3,8,0,2,3,2,2,1,7,6,9,5,0,3,0,1,0,0,2,1,2,3,4,4
2000067,2000/2001,23/09/2000,Newcastle,Charlton,2,1.456,3.56,6.16,1.666666667,1.333333333,0.5,0.333333333,0.166666667,0.333333333,0.333333333,0.333333333,1.166666667,1.833333333,1,1.833333333,2.333333333,0.333333333,0.666666667,0,0.333333333,0.333333333,0,0.666666667,1.666666667,1.666666667,0.666666667,3.333333333,10,5,3,1,1,2,1,2,7,7,4,11,4,1,1,0,1,1,0,1,2,5,0,7
2000068,2000/2001,23/09/2000,Tottenham,Man City,X,1.566,3.44,4.94,1.666666667,1.166666667,0.5,0.333333333,0.166666667,0.166666667,0.333333333,0.5,1.333333333,1.666666667,1.166666667,2.166666667,3,1,1,0.333333333,0,0,0,0.666666667,2.333333333,1.333333333,1,2.666666667,7,7,2,2,1,1,2,2,5,10,6,9,6,3,2,1,0,0,0,1,4,4,2,4
2000069,2000/2001,24/09/2000,Leicester,Everton,X,1.81,3.21,3.74,2.333333333,1.166666667,0.666666667,0.333333333,0.333333333,0.166666667,0,0.5,1,1.666666667,0.166666667,1.833333333,2.333333333,1,0.666666667,0.333333333,0.333333333,0,0,0.666666667,1,1.333333333,0.333333333,2,13,7,4,2,1,1,0,2,6,10,1,9,6,3,2,1,0,0,0,1,3,4,1,4
2000070,2000/2001,30/09/2000,Aston Villa,Derby,1,1.516,3.43,5.3,1.5,0.714285714,0.333333333,0,0.5,0.714285714,0.166666667,0.285714286,1.166666667,1.857142857,1,2.142857143,2,0.333333333,0.5,0,0.5,0.333333333,0,0.666666667,1.5,1.666666667,0.5,2.333333333,8,4,2,0,2,4,1,1,7,9,6,10,4,1,1,0,1,1,0,1,3,3,1,4
2000071,2000/2001,30/09/2000,Charlton,Coventry,X,1.816,3.22,3.66,1.571428571,1,0.428571429,0.285714286,0.285714286,0.142857143,0.285714286,0.571428571,1.714285714,0.857142857,1.571428571,1.714285714,2.333333333,2,0.666666667,0.666666667,0.333333333,0,0,0.333333333,2,1.666666667,0.333333333,1.333333333,8,4,2,1,2,1,1,3,8,3,8,8,4,3,1,1,1,0,0,1,2,3,1,3
2000072,2000/2001,30/09/2000,Everton,Ipswich,2,1.71,3.23,4.18,1.142857143,1.142857143,0.285714286,0.285714286,0.285714286,0.285714286,0.428571429,0.428571429,1.571428571,1.142857143,1.714285714,1.428571429,1.333333333,1,0.333333333,0.333333333,0.333333333,0,0.333333333,0.666666667,2,1.333333333,1.666666667,2,5,7,1,2,2,1,2,2,8,6,10,6,1,3,0,1,1,0,1,1,3,3,5,3
2000073,2000/2001,30/09/2000,Leeds,Tottenham,1,1.722,3.25,4.066,1.333333333,1.571428571,0.333333333,0.428571429,0.333333333,0.285714286,0.333333333,0.285714286,1.166666667,1.142857143,1,1,1,0.333333333,0.333333333,0,0,0.333333333,0.666666667,0.666666667,1.333333333,0.333333333,1.333333333,1.333333333,5,7,1,2,2,1,2,2,5,4,6,5,0,0,0,0,0,0,2,2,2,0,4,3
2000074,2000/2001,30/09/2000,Man City,Newcastle,2,2.4,3.18,2.5,1.142857143,1.428571429,0.285714286,0.428571429,0.285714286,0.142857143,0.428571429,0.428571429,1.428571429,1,1.857142857,1,1.333333333,1,0.333333333,0.333333333,0.333333333,0,0.333333333,0.666666667,2,0.666666667,1.666666667,1.333333333,5,7,1,2,2,1,2,2,6,4,7,3,1,3,0,1,1,0,1,1,2,2,3,2
2000075,2000/2001,30/09/2000,Southampton,Middlesbrough,2,2.13,3.18,2.88,1.285714286,1,0.285714286,0.142857143,0.428571429,0.571428571,0.285714286,0.285714286,1.428571429,1.571428571,1.285714286,1.571428571,1.333333333,1.666666667,0.333333333,0.333333333,0.333333333,0.666666667,0.333333333,0,2,2.333333333,1.666666667,1.666666667,8,3,2,0,2,3,1,2,7,7,5,9,4,2,1,0,1,2,0,0,5,4,3,4
